author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 119536442;homeowner;https://www.cian.ru/sale/flat/313736270/;Москва;sale;flat;3;8;2;45.9;35950000;Раменки;Винницкая ;8к1;Раменки;Настоящее
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312221430/;Москва;sale;flat;2;4;3;140.0;170205364;Мещанский;Рождественский бульвар;10/7С1;Трубная;
ID 24059505;homeowner;https://www.cian.ru/sale/flat/315345114/;Москва;sale;flat;6;9;1;32.0;16900000;Проспект Вернадского; Удальцова;3К11;Проспект Вернадского;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312149256/;Москва;sale;flat;2;6;3;121.9;130000000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314537762/;Москва;sale;flat;22;37;4;132.0;132100000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Дмитрий Казаченко;realtor;https://www.cian.ru/sale/flat/313092754/;Москва;sale;flat;7;12;3;62.0;15850000;Бирюлево Западное;Востряковский проезд;9;Битца;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302817609/;Москва;sale;flat;3;17;3;97.0;97000000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/310507662/;Москва;sale;flat;2;16;3;99.0;158700000;Раменки;Воробьевское шоссе;4;Поклонная;Воробьёв Дом
ID 22976962;homeowner;https://www.cian.ru/sale/flat/312623987/;Москва;sale;flat;2;9;2;38.0;12600000;Царицыно; Бехтерева;9К1;Кантемировская;
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298534721/;Москва;sale;flat;2;4;3;140.0;170205364;Мещанский;Рождественский бульвар;10/7С1;Трубная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314324061/;Москва;sale;flat;12;19;2;84.0;59000000;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
Иван Солдатенков;realtor;https://www.cian.ru/sale/flat/313381189/;Москва;sale;flat;8;17;2;56.0;9600000;Люблино;проезд Кирова;8;Депо;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314473969/;Москва;sale;flat;35;41;3;98.0;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311033212/;Москва;sale;flat;9;14;2;67.0;57000000;Раменки;проспект Генерала Дорохова;39к1Б;Поклонная;Собрание клубных домов West Garden
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/313524178/;Москва;sale;flat;12;23;3;82.0;32000000;Коньково; Островитянова;53;Беляево;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/309232689/;Москва;sale;flat;9;12;3;101.2;78000000;Раменки;проспект Генерала Дорохова;39к1Д;Минская;Собрание клубных домов West Garden
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307839365/;Москва;sale;flat;2;14;4;130.4;80000000;Раменки;проспект Генерала Дорохова;39к1Г;Поклонная;Собрание клубных домов West Garden
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/315207066/;Москва;sale;flat;6;6;5;300.0;199000000;Мещанский;Большой Сухаревский переулок;24;Сухаревская;
Светлана Гура;realtor;https://www.cian.ru/sale/flat/315388403/;Москва;sale;flat;13;21;5;227.0;192999990;Пресненский;Мантулинская ;9к5;Москва-Сити;City Park
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315365587/;Москва;sale;flat;35;41;3;90.0;105000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315202412/;Москва;sale;flat;7;7;5;242.0;180000000;Пресненский;Никитский бульвар;12;Арбатская;
