author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/306834640/;Москва;sale;flat;10;33;3;113.9;47000000;Тропарево-Никулино;проспект Вернадского;105к4;Юго-Западная;
Ларссон Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315165475/;Москва;sale;flat;9;14;2;59.0;14400000;Южное Бутово; Адмирала Лазарева;47К1;Бунинская аллея;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315044373/;Москва;sale;flat;20;23;4;128.5;56900000;Ясенево;Новоясеневский проспект;9;Ясенево;Новоясеневский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311341337/;Москва;sale;flat;20;21;2;67.5;55000000;Беговой;Ленинградский проспект;29к2;Динамо;Царская площадь
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/315042925/;Москва;sale;flat;12;13;1;42.0;33000000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/315821351/;Москва;sale;flat;9;15;2;92.0;43300000;Раменки;Ломоносовский проспект;29к1;Ломоносовский проспект;Квартал Шуваловский
МРИЭЛТОР - офис Отрадное;real_estate_agent;https://www.cian.ru/sale/flat/315170720/;Москва;sale;flat;2;19;2;60.7;22350000;Таганский;Рабочая ;16;Москва-Товарная;
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/313514559/;Москва;sale;flat;9;9;2;53.0;17750000;Коптево;3-й Михалковский переулок;24;Коптево;
ID 20547002;realtor;https://www.cian.ru/sale/flat/315247677/;Москва;sale;flat;16;19;3;142.9;55000000;Раменки;Мичуринский проспект;29;Раменки;
Кремлёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/314599964/;Москва;sale;flat;10;19;2;59.0;18150000;Хорошево-Мневники; Мневники;21;Народное Ополчение;
ID 31310619;unknown;https://www.cian.ru/sale/flat/315825544/;Москва;sale;flat;2;17;2;54.2;15500000;Солнцево; Авиаторов;2;Солнцево;
ID 82138283;homeowner;https://www.cian.ru/sale/flat/315312406/;Москва;sale;flat;10;11;3;165.0;55000000;Филевский парк;Барклая ;14;Багратионовская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/314069952/;Москва;sale;flat;6;17;3;74.9;24900000;Теплый Стан;Профсоюзная ;124;Коньково;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/314791156/;Москва;sale;flat;15;17;1;38.0;11999999;Братеево; Борисовские Пруды;12К1;Борисово;
Альтернатива;real_estate_agent;https://www.cian.ru/sale/flat/315827972/;Москва;sale;flat;13;16;3;65.3;17500000;Чертаново Северное;Сумской проезд;6К2;Чертановская;
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315763775/;Москва;sale;flat;12;13;1;41.6;33000000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
Владимир Герасимов;realtor;https://www.cian.ru/sale/flat/315238723/;Москва;sale;flat;17;27;3;116.1;44900000;Левобережный;Смольная ;49;Беломорская;Кристалл
ID 129648081;homeowner;https://www.cian.ru/sale/flat/315906104/;Москва;sale;flat;5;6;3;68.0;43000000;Тверской;3-й Самотечный переулок;13;Достоевская;
Московский Риэлторский Центр;real_estate_agent;https://www.cian.ru/sale/flat/313915704/;Москва;sale;flat;10;17;3;100.7;43000000;Раменки;Мичуринский проспект;34;Раменки;
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/314889644/;Москва;sale;flat;2;14;3;64.0;12800000;Южное Бутово;Джанкойская ;3В;Бутово;
Арман Оганесян;realtor;https://www.cian.ru/sale/flat/314647914/;Москва;sale;flat;3;12;2;75.0;44000000;Проспект Вернадского; Удальцова;22;Проспект Вернадского;
Павел Понурин;realtor;https://www.cian.ru/sale/flat/290288962/;Москва;sale;flat;2;5;2;85.5;29500000;Северный;Дмитровское шоссе;122Гк1;Физтех;
Кремлёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/306607502/;Москва;sale;flat;3;14;3;75.5;17300000;Выхино-Жулебино; Маршала Полубоярова;4к2;Жулебино;
ID 498580;realtor;https://www.cian.ru/sale/flat/315367575/;Москва;sale;flat;13;22;2;58.2;14990000;Бескудниковский;Дмитровское шоссе;64К4;Верхние Лихоборы;
Московский Риэлторский Центр;real_estate_agent;https://www.cian.ru/sale/flat/315352069/;Москва;sale;flat;12;16;2;50.0;21400000;Останкинский; Академика Королева;9К5;Улица Академика Королёва;
Суламит-НГС;real_estate_agent;https://www.cian.ru/sale/flat/315400492/;Москва;sale;flat;15;16;1;37.7;15600000;Нагатинский затон;Коломенская набережная;6К1;Нагатинский Затон;
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315406192/;Москва;sale;flat;12;13;1;42.0;33500000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
МГСН;real_estate_agent;https://www.cian.ru/sale/flat/314018288/;Москва;sale;flat;13;17;2;54.0;12900000;Некрасовка;Покровская ;21;Некрасовка;Некрасовка-Парк
Адрес;real_estate_agent;https://www.cian.ru/sale/flat/315778527/;Москва;sale;flat;10;12;2;52.6;16000000;Нагатинский затон;Коломенская ;5;Нагатинский Затон;
ID 43549;realtor;https://www.cian.ru/sale/flat/257091559/;Москва;sale;flat;19;22;3;98.0;42000000;Измайлово;10-я Парковая ;3;Первомайская;
МРИЭЛТОР - офис Отрадное;real_estate_agent;https://www.cian.ru/sale/flat/307549514/;Москва;sale;flat;14;17;2;50.2;15500000;Бабушкинский; Менжинского;23к2;Бабушкинская;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/309779272/;Москва;sale;flat;22;25;3;126.3;43000000;Очаково-Матвеевское;Мичуринский проспект;80;Озёрная;
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/315027221/;Москва;sale;flat;7;9;1;38.7;13600000;Коптево;3-й Михалковский переулок;24;Коптево;
ID 13398631;realtor;https://www.cian.ru/sale/flat/315115790/;Москва;sale;flat;6;17;1;38.5;10990000;Рязанский; Академика Скрябина;6К2;Рязанский проспект;
